CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,AUTOFE_F_1,AUTOFE_F_6,AUTOFE_F_7,AUTOFE_F_10,AUTOFE_F_13,AUTOFE_F_16,AUTOFE_F_19,AUTOFE_F_27,AUTOFE_F_28,AUTOFE_F_30,AUTOFE_F_31,AUTOFE_F_33,AUTOFE_F_35,AUTOFE_F_41,AUTOFE_F_48
0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,1.98,1.6229,107.856,0.001698412698,3.428,16,4.024,-249.05,5.95,-0.05,18.3,13.770491803,743.4,0.428,0.1612021858,7
0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,4.84,1.0491,104.384,0.001922746781,3.448,3,3.77,-226.09,9.91,3.91,17.9,13.016759777,1610.03,0.448,0.3860335196,7
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,5.81,0.4481,104.384,0.001922746781,3.448,7,3.169,-226.09,9.91,3.91,17.9,13.016759777,1610.03,0.448,0.3860335196,6
0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,7.44,0.4901,104.384,0.001922746781,3.448,7,3.211,-226.09,9.91,3.91,17.9,13.016759777,1610.03,0.448,0.3860335196,6
0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,9.55,0.3481,104.384,0.001922746781,3.448,40,3.069,-226.09,9.91,3.91,17.9,13.016759777,1610.03,0.448,0.3860335196,6
0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,10.21,0.5816,104.384,0.001922746781,3.448,34,2.682,-226.09,9.91,3.91,17.9,13.016759777,1610.03,0.448,0.3860335196,6
0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,14.15,0.6856,104.384,0.001922746781,3.448,33,2.786,-226.09,9.91,3.91,17.9,13.016759777,1610.03,0.448,0.3860335196,6
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,18.8,0.3406,104.384,0.001922746781,3.448,86,3.03,-226.09,9.91,3.91,17.9,13.016759777,1610.03,0.448,0.3860335196,6
0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,30.81,-0.471,104.384,0.001922746781,3.448,95,2.399,-226.09,9.91,3.91,17.9,13.016759777,1610.03,0.448,0.3860335196,5
0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,16.2,-0.4857,104.384,0.001922746781,3.448,62,2.602,-226.09,9.91,3.91,17.9,13.016759777,1610.03,0.448,0.3860335196,6
0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,13.45,-0.8517,106.677,0.001806584362,4.439,46,1.963,-237.36,9.64,1.64,16.8,14.464285714,1370.52,0.439,0.3357142857,6
0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,9.43,-0.6997,106.677,0.001806584362,4.439,63,2.115,-237.36,9.64,1.64,16.8,14.464285714,1370.52,0.439,0.3357142857,6
0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,5.28,-0.3037,106.677,0.001806584362,4.439,21,2.511,-237.36,9.64,1.64,16.8,14.464285714,1370.52,0.439,0.3357142857,7
0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,8.43,-0.8167,106.677,0.001806584362,4.439,21,1.998,-237.36,9.64,1.64,16.8,14.464285714,1370.52,0.439,0.3357142857,6
0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,14.8,-1.4317,192.29,0.0008742004264,3.41,48,2.888,-465,7,1,21.1,22.227488152,1876,0.41,0.1895734597,6
0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,4.81,-1.4476,91.078,0.001783185841,5.403,22,2.249,-224.78,6.22,-3.78,17.9,12.625698324,275.72,0.403,0.06815642458,7
0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,5.77,-2.8046,128.33,0.001309904153,2.41,36,4.383,-312.26,2.74,-1.26,17.3,18.092485549,231.62,0.41,0.04277456647,6
0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,3.95,-1.5088,105.216,0.00160546875,5.411,41,1.816,-254.68,6.32,-3.68,15.1,16.953642384,337.92,0.411,0.08741721854,7
0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,6.86,-1.6698,128.652,0.001595070423,8.453,29,-1.855,-278.87,13.13,-2.87,19.7,14.416243655,1456.92,0.453,0.2604060914,6
0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,9.22,-1.005,128.652,0.001595070423,8.453,47,-2.073,-278.87,13.13,-2.87,19.7,14.416243655,1456.92,0.453,0.2604060914,6
0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,13.15,-1.4844,128.652,0.001595070423,8.453,66,-2.259,-278.87,13.13,-2.87,19.7,14.416243655,1456.92,0.453,0.2604060914,6
0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,-0.8525,128.652,0.001595070423,8.453,93,-2.034,-278.87,13.13,-2.87,19.7,14.416243655,1456.92,0.453,0.2604060914,6
0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,6.73,-0.7695,128.652,0.001595070423,8.453,68,-1.544,-278.87,13.13,-2.87,19.7,14.416243655,1456.92,0.453,0.2604060914,6
0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,9.5,-1.2189,128.652,0.001595070423,8.453,43,-1.238,-278.87,13.13,-2.87,19.7,14.416243655,1456.92,0.453,0.2604060914,7
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05,-2.1189,89.8776,0.001926388889,3.4161,60,4.104,-214.62,4.38,-1.62,18.6,11.612903226,298.08,0.4161,0.07419354839,7
0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,4.67,-0.3215,134.126,0.001181008902,4.398,18,2.29,-333.63,7.37,-0.63,16.1,20.931677019,1135.69,0.398,0.2093167702,6
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,10.24,-0.8245,134.126,0.001181008902,4.398,31,1.787,-333.63,7.37,-0.63,16.1,20.931677019,1135.69,0.398,0.2093167702,6
0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,8.1,-0.62,141.105,0.001185507246,4.409,21,1.878,-338.93,10.07,2.07,18.9,18.253968254,2094.15,0.409,0.3211640212,6
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,13.09,-0.904,141.105,0.001185507246,4.409,37,1.594,-338.93,10.07,2.07,18.9,18.253968254,2094.15,0.409,0.3211640212,6
0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,8.79,-0.613,141.105,0.001185507246,4.409,33,1.885,-338.93,10.07,2.07,18.9,18.253968254,2094.15,0.409,0.3211640212,6
0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,6.72,1.1297,125.965,0.001354098361,4.413,7,2.417,-294.19,14.81,6.81,19.2,15.885416667,3297.05,0.413,0.5630208333,6
0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,9.88,0.6737,125.965,0.001354098361,4.413,18,1.961,-294.19,14.81,6.81,19.2,15.885416667,3297.05,0.413,0.5630208333,6
0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,5.52,0.7777,125.965,0.001354098361,4.413,8,2.065,-294.19,14.81,6.81,19.2,15.885416667,3297.05,0.413,0.5630208333,6
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,7.54,0.9577,125.965,0.001354098361,4.413,6,2.245,-294.19,14.81,6.81,19.2,15.885416667,3297.05,0.413,0.5630208333,6
0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,6.78,2.0215,173.926,0.00109798995,5.437,6,1.273,-385.17,17.83,7.83,18.7,21.28342246,5106.34,0.437,0.6860962567,6
0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,8.94,1.7834,173.926,0.00109798995,5.437,45,1.286,-385.17,17.83,7.83,18.7,21.28342246,5106.34,0.437,0.6860962567,6
0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,11.97,2.2268,173.926,0.00109798995,5.437,75,1.279,-385.17,17.83,7.83,18.7,21.28342246,5106.34,0.437,0.6860962567,6
0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,10.27,2.0495,173.926,0.00109798995,5.437,46,1.14,-385.17,17.83,7.83,18.7,21.28342246,5106.34,0.437,0.6860962567,6
0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,12.34,1.2179,173.926,0.00109798995,5.437,54,1.232,-385.17,17.83,7.83,18.7,21.28342246,5106.34,0.437,0.6860962567,6
0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,9.1,1.3714,173.926,0.00109798995,5.437,37,0.874,-385.17,17.83,7.83,18.7,21.28342246,5106.34,0.437,0.6860962567,6
0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,5.29,1.3263,119.706,0.001516014235,4.426,34,2.727,-276.14,8.86,0.86,19,14.789473684,1365.66,0.426,0.2557894737,7
0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,7.22,1.2183,119.706,0.001516014235,4.426,70,2.619,-276.14,8.86,0.86,19,14.789473684,1365.66,0.426,0.2557894737,7
0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,6.72,0.9013,119.706,0.001516014235,4.426,32,2.302,-276.14,8.86,0.86,19,14.789473684,1365.66,0.426,0.2557894737,6
0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,7.51,0.7663,119.706,0.001516014235,4.426,47,2.167,-276.14,8.86,0.86,19,14.789473684,1365.66,0.426,0.2557894737,6
0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,9.62,1.6096,110.903,0.001817813765,3.449,48,3.389,-242.51,7.49,1.49,18.5,13.351351351,1109.03,0.449,0.2427027027,6
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,2.1923,110.903,0.001817813765,3.449,56,3.63,-242.51,7.49,1.49,18.5,13.351351351,1109.03,0.449,0.2427027027,7
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,12.86,1.5878,110.903,0.001817813765,3.449,45,3.015,-242.51,7.49,1.49,18.5,13.351351351,1109.03,0.449,0.2427027027,6
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44,2.3734,110.903,0.001817813765,3.449,57,3.121,-242.51,7.49,1.49,18.5,13.351351351,1109.03,0.449,0.2427027027,6
0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,5.5,3.5853,132.03,0.001811111111,2.489,86,5.007,-266.59,5.41,1.41,17.8,15.168539326,920.7,0.489,0.1915730337,7
0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,5.7,3.6645,132.03,0.001811111111,2.489,63,5.079,-266.59,5.41,1.41,17.8,15.168539326,920.7,0.489,0.1915730337,7
0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,8.81,3.3247,132.03,0.001811111111,2.489,66,4.417,-266.59,5.41,1.41,17.8,15.168539326,920.7,0.489,0.1915730337,6
0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,8.2,3.3129,132.03,0.001811111111,2.489,74,4.405,-266.59,5.41,1.41,17.8,15.168539326,920.7,0.489,0.1915730337,6
0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,8.16,2.7761,125.28,0.001718518519,4.464,54,2.442,-254.96,19.04,11.04,18.2,14.835164835,4060.8,0.464,0.8263736264,6
0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,6.21,2.5451,125.28,0.001718518519,4.464,29,2.211,-254.96,19.04,11.04,18.2,14.835164835,4060.8,0.464,0.8263736264,6
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,10.59,2.634,125.28,0.001718518519,4.464,77,2.249,-254.96,19.04,11.04,18.2,14.835164835,4060.8,0.464,0.8263736264,6
0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,6.65,3.1298,122.82,0.001612318841,2.445,58,4.625,-273.11,4.89,0.89,18,15.333333333,797.64,0.445,0.1605555556,7
0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,11.34,2.6678,122.82,0.001612318841,2.445,70,4.163,-273.11,4.89,0.89,18,15.333333333,797.64,0.445,0.1605555556,6
0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,4.21,4.5738,122.82,0.001612318841,2.445,76,6.069,-273.11,4.89,0.89,18,15.333333333,797.64,0.445,0.1605555556,8
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,3.57,4.3248,122.82,0.001612318841,2.445,37,5.82,-273.11,4.89,0.89,18,15.333333333,797.64,0.445,0.1605555556,8
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,6.19,3.9208,122.82,0.001612318841,2.445,63,5.416,-273.11,4.89,0.89,18,15.333333333,797.64,0.445,0.1605555556,7
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,9.42,3.9492,199.68,0.001354166667,5.52,80,1.727,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,7
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,7.67,3.9249,199.68,0.001354166667,5.52,71,1.781,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,7
0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,10.63,3.6903,199.68,0.001354166667,5.52,85,1.405,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,6
0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,13.44,3.4223,199.68,0.001354166667,5.52,87,1.137,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,6
0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,12.33,3.746,199.68,0.001354166667,5.52,90,1.167,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,6
0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,16.47,3.7441,199.68,0.001354166667,5.52,97,0.851,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,6
0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,18.66,3.625,199.68,0.001354166667,5.52,92,0.836,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,6
0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,14.09,4.0046,199.68,0.001354166667,5.52,85,1.127,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,6
0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,12.27,4.0411,199.68,0.001354166667,5.52,97,1.474,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,6
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,15.55,3.6839,199.68,0.001354166667,5.52,91,1.229,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,6
0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,13,3.4172,199.68,0.001354166667,5.52,54,1.195,-375.44,13.56,3.56,20.9,18.373205742,3287.04,0.52,0.409569378,6
0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,10.16,4.0375,236.304,0.001266203704,6.547,82,0.715,-421.99,16.01,4.01,17.8,24.269662921,4324.32,0.547,0.5623595506,7
0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,16.21,3.5596,236.304,0.001266203704,6.547,93,-0.087,-421.99,16.01,4.01,17.8,24.269662921,4324.32,0.547,0.5623595506,6
0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,17.09,3.544,236.304,0.001266203704,6.547,95,0.092,-421.99,16.01,4.01,17.8,24.269662921,4324.32,0.547,0.5623595506,6
0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,10.45,3.9975,236.304,0.001266203704,6.547,84,0.254,-421.99,16.01,4.01,17.8,24.269662921,4324.32,0.547,0.5623595506,6
0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,15.76,3.4649,236.304,0.001266203704,6.547,88,-0.072,-421.99,16.01,4.01,17.8,24.269662921,4324.32,0.547,0.5623595506,6
0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,12.04,3.4459,236.304,0.001266203704,6.547,73,0.176,-421.99,16.01,4.01,17.8,24.269662921,4324.32,0.547,0.5623595506,6
0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,10.3,3.2736,236.304,0.001266203704,6.547,83,0.021,-421.99,16.01,4.01,17.8,24.269662921,4324.32,0.547,0.5623595506,6
0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,15.37,3.3945,236.304,0.001266203704,6.547,73,-0.128,-421.99,16.01,4.01,17.8,24.269662921,4324.32,0.547,0.5623595506,6
0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,13.61,2.9718,236.304,0.001266203704,6.547,65,-0.269,-421.99,16.01,4.01,17.8,24.269662921,4324.32,0.547,0.5623595506,6
0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,14.37,3.6123,109.228,0.003090425532,2.581,70,3.87,-162.35,27.65,23.65,19.1,9.842931937,4822.2,0.581,1.342931937,6
0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,14.27,3.8066,109.228,0.003090425532,2.581,84,4.004,-162.35,27.65,23.65,19.1,9.842931937,4822.2,0.581,1.342931937,6
0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,17.93,3.8741,109.228,0.003090425532,2.581,93,3.961,-162.35,27.65,23.65,19.1,9.842931937,4822.2,0.581,1.342931937,6
0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,25.41,3.9116,109.228,0.003090425532,2.581,97,3.856,-162.35,27.65,23.65,19.1,9.842931937,4822.2,0.581,1.342931937,6
0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,17.58,3.8727,109.228,0.003090425532,2.581,96,3.879,-162.35,27.65,23.65,19.1,9.842931937,4822.2,0.581,1.342931937,6
